Country,Confirmed,Deaths,Recovered,Active,Longitude,Latitude,DeathRatio
Togo,47390,1295,28330,17765,155.0624,1620.4660000000001,0.027326440177252585
Trinidad and Tobago,14967,949,10531,3487,-11509.83,2010.0584000000001,0.0634061602191488
Tunisia,126590,5250,85410,35930,1793.049812,6370.740395999999,0.041472470179319064
Turkey,17903345,466056,13345389,4091900,6625.7404,7325.1756000000005,0.026031783446054356
US,224345948,11011411,56353416,156981121,-18800.0,7520.0,0.049082281619813345
Uganda,56688,6,39767,16915,6070.5717,258.186604,0.00010584250635055038
Ukraine,3214085,85248,1387463,1741374,5859.1328,9095.3272,0.02652325623000014
United Arab Emirates,3658838,25387,2402874,1230577,10123.389783999999,4403.726288,0.006938541690011965
United Kingdom,26748587,3997775,126217,22624595,-90789.837208,50765.620824000005,0.149457427414764
Uruguay,94742,2456,72759,19527,-10483.9704,-6114.286399999999,0.025923033079310126
Uzbekistan,678008,2938,423777,251293,12142.029256,7778.9683079999995,0.004333282203159845
Venezuela,412231,4101,151542,256588,-12518.863599999999,1207.6743999999999,0.009948305682978718
Vietnam,40675,0,32838,7837,20356.113412,2642.964912,0.0
West Bank and Gaza,233461,1370,61124,170967,6623.8416,6007.0136,0.005868217817965313
Western Sahara,901,63,648,190,-2422.5304,4552.514,0.06992230854605994
Yemen,67180,17707,23779,25694,9121.080944,2923.9126760000004,0.26357546888955047
Zambia,129421,2643,83611,43167,5235.674416,-2469.172636,0.020421724449664273
Zimbabwe,50794,881,12207,37706,5481.1131159999995,-3574.902344,0.017344568256093238
